nameKo,nameEn,years,quoteEn,quoteKo
칸예 웨스트 / 예,Kanye West / Ye,1977 ~,My greatest pain in life is that I will never be able to see myself perform live.,내 인생 최고의 고통은 내가 무대에서 공연하는 모습을 내 눈으로 직접 볼 수 없다는 것이다.
칸예 웨스트 / 예,Kanye West / Ye,1977 ~,We're not human beings. We're creators.,우리는 인간이 아니다. 창조자들이다.
톰 요크 - 라디오헤드,Thom Yorke,1968 ~,Being in a band turns you into a child and keeps you there.,"밴드를 한다는 것은 당신을 어린아이로 만들고, 그 상태에 머물게 하는 것이다."
톰 요크 - 라디오헤드,Thom Yorke,1968 ~,Pathetic strings make me cry.,한심한 스트링(현악) 소리는 날 울게 만든다.
보노 - U2,Bono,1960 ~,Music can change the world because it can change people.,음악은 사람을 바꿀 수 있기 때문에 세상을 바꿀 수 있다.
레이디 가가,Lady Gaga,1986 ~,"Some women choose to follow men, and some women choose to follow their dreams.","어떤 여성들은 남자를 따르기로 선택하고, 어떤 여성들은 꿈을 따르기로 선택한다."
레이디 가가,Lady Gaga,1986 ~,"If you don't have any shadows, you're not standing in the light.","당신에게 그림자가 없다면, 당신은 빛 속에 서 있는 것이 아니다."
마돈나,Madonna,1958 ~,"I'm tough, I'm ambitious, and I know exactly what I want. If that makes me a bitch, okay.","나는 터프하고, 야망이 있으며, 내가 무엇을 원하는지 정확히 안다. 만약 그것 때문에 내가 독한 년이 된다면, 뭐 상관없다."
마돈나,Madonna,1958 ~,"No matter who you are, no matter what you did, no matter where you've come from, you can always change, become a better version of yourself.","당신이 누구든, 무슨 짓을 했든, 어디서 왔든, 당신은 언제든 변해서 더 나은 자신이 될 수 있다."
비제이,Björk,1965 ~,I find it sometimes quite beautiful that we don't know all the answers.,우리가 모든 정답을 알지 못한다는 사실이 때로는 꽤 아름답게 느껴진다.
타일러 더 크리에이터,Tyler,1991 ~,I'm not a follower. I'm a leader. And anyone who speaks their mind is a leader.,나는 추종자가 아니다. 리더다. 그리고 자기 생각을 말하는 사람은 누구나 리더다.
빌리 아이리시,Billie Eilish,2001 ~,"In the dark, total darkness, everyone's equal.","어둠 속에서, 완전한 어둠 속에서는 모두가 평등하다."
테일러 스위프트,Taylor Swift,1989 ~,"People are going to judge you anyway, so you might as well do what you want.",사람들은 어차피 당신을 판단할 것이다. 그러니 그냥 당신이 원하는 걸 하는 게 낫다.
제이지,Jay-Z,1969 ~,"I'm not a businessman, I'm a business, man!","나는 비즈니스맨이 아니다. 나 자체가 비즈니스다, 인마!"
제이지,Jay-Z,1969 ~,"Identity is a prison, you can never escape, but the way to redeem your past is not to run from it, but to try to understand it.","정체성은 결코 탈출할 수 없는 감옥과 같지만, 과거를 보상하는 방법은 도망치는 것이 아니라 그것을 이해하려고 노력하는 것이다."
제이지,Jay-Z,1969 ~,Excellence is being able to perform at a high level over and over again.,탁월함이란 높은 수준의 성과를 몇 번이고 반복해서 보여줄 수 있는 능력이다.
제이지,Jay-Z,1969 ~,"Remind yourself, nobody's built like you, you design yourself.","기억해라, 아무도 너처럼 만들어지지 않았다. 너 자신을 디자인하는 것은 바로 너다."
나스,Nas,1973 ~,Sleep is the cousin of death.,잠은 죽음의 사촌이다.
나스,Nas,1973 ~,"No security in this wild world; when push come to shove, you can only trust your own people.",이 거친 세상에 안전이란 없다. 상황이 막바지에 다다르면 오직 내 사람만 믿을 수 있을 뿐이다.
나스,Nas,1973 ~,"I non-stop write, it’s like a habit.",나는 쉬지 않고 글을 쓴다. 그건 그냥 습관 같다.
나스,Nas,1973 ~,"Beyond the walls of intelligence, life is defined.","지성의 벽을 넘어설 때, 비로소 삶이 정의된다."
노토리어스 비아이지 / 비기,The Notorious B.I.G.,1972–1997,"Mo money, mo problems.","돈이 많아질수록, 문제도 많아진다."
노토리어스 비아이지 / 비기,The Notorious B.I.G.,1972–1997,We can't change the world unless we change ourselves.,우리 자신을 바꾸지 않는 한 우리는 세상을 바꿀 수 없다.
노토리어스 비아이지 / 비기,The Notorious B.I.G.,1972–1997,"Excellence is my presence, never tense, never hesitant.","나의 존재 자체가 탁월함이다. 절대 긴장하지 않고, 절대 망설이지 않지."
드레이크,Drake,1986 ~,"You only live once: that's the motto, nigger, YOLO.","인생은 오직 한 번뿐이야. 그게 우리의 모토지, YOLO."
드레이크,Drake,1986 ~,"Haters will broadcast your failures, but whisper your success.","너를 미워하는 자들은 너의 실패를 동네방네 소문내겠지만, 너의 성공은 조용히 속삭일 것이다."
드레이크,Drake,1986 ~,Sometimes I wish I could just go back to the baseline.,가끔은 그냥 모든 게 시작되던 기준점으로 돌아가고 싶을 때가 있다.
드레이크,Drake,1986 ~,"I was born to make mistakes, not to fake perfection.","나는 실수를 하기 위해 태어난 것이지, 완벽함을 연기하기 위해 태어난 게 아니다."
켄드릭 라마,Kendrick Lamar,1987 ~,"If I'm gonna tell a real story, I'm gonna start with my name.","내가 진짜 이야기를 하려고 한다면, 내 이름부터 시작하겠다."
켄드릭 라마,Kendrick Lamar,1987 ~,"We hurt people that love us, love people that hurt us.","우리는 우리를 사랑하는 사람들에게 상처를 주고, 우리에게 상처를 주는 사람들을 사랑한다."
켄드릭 라마,Kendrick Lamar,1987 ~,"Conscience is a baseline, you can't fake that.",양심은 기준선이다. 그것은 속여낼 수 없다.
켄드릭 라마,Kendrick Lamar,1987 ~,"Look at me, I'm a loser. I'm a winner. I'm good, I'm bad.","나를 봐라, 나는 루저이자 위너다. 착하기도 하고 악하기도 하지."
제이 콜,J. Cole,1985 ~,There is no such thing as a life that is better than yours.,네 삶보다 더 나은 삶 같은 건 세상에 존재하지 않는다.
제이 콜,J. Cole,1985 ~,No need to fix what God already put his paintbrush on.,신이 이미 붓칠을 해놓으신 것을 굳이 고치려 들 필요는 없다.
제이 콜,J. Cole,1985 ~,"They say time is money, but really, it's not. Time is life.","사람들은 시간이 돈이라고 하지만, 진짜는 아니다. 시간은 곧 생명이다."
스눕 독,Snoop Dogg,1971 ~,I want to thank me for being me at all times.,언제나 나 자신으로 살아준 나 자신에게 감사하고 싶다.
스눕 독,Snoop Dogg,1971 ~,It's so easy a caveman can do it.,그건 하도 쉬워서 원시인도 하겠다.
스눕 독,Snoop Dogg,1971 ~,"If the ride is more fly, then you must buy.","차 분위기가 죽여준다면, 당연히 사야지."
닥터 드레,Dr. Dre,1965 ~,You just have to find that thing that's special about you that distinguishes you from all the others.,너는 그저 다른 모든 사람들과 너를 구별해 주는 너만의 특별한 것을 찾아내면 된다.
닥터 드레,Dr. Dre,1965 ~,"I've gone absolute silver and gold, but I never forgot the ghetto.","내 음반들이 완전히 실버와 골드를 기록하며 대박이 났지만, 난 결코 빈민가를 잊은 적이 없다."
아이스 큐브,Ice Cube,1969 ~,Today was a good day.,오늘은 좋은 날이었어.
아이스 큐브,Ice Cube,1969 ~,"Truth is the ultimate power. When the truth comes around, all the lies have to run and hide.",진실은 궁극의 힘이다. 진실이 나타나면 모든 거짓은 도망쳐 숨어야 한다.
50센트,50 Cent,1975 ~,Get rich or die tryin'.,"부자가 되거나, 아니면 부자가 되려다 죽거나."
50센트,50 Cent,1975 ~,Sleep is for those people who are broke.,잠은 돈이 없는 거지들이나 자는 것이다. (지독한 워커홀릭의 개뻘소리)
50센트,50 Cent,1975 ~,"Wise men listen and laugh, while fools talk.","지혜로운 자들은 듣고 웃지만, 바보들은 지껄인다."
릴 웨인,Lil Wayne,1982 ~,I am probably the most visual writer there is. I don't write down anything.,나는 아마 현존하는 가장 시각적인 작가일 것이다. 왜냐하면 난 아무것도 받아적지 않으니까.
릴 웨인,Lil Wayne,1982 ~,"The more time you spend complaining, the less time you have to get money.","불평하는 데 시간을 더 많이 쓸수록, 돈을 벌 시간은 줄어든다."
릴 웨인,Lil Wayne,1982 ~,I'm a prisoner of my own mind.,나는 내 정신의 포로다.
맥 밀러,Mac Miller,1992–2018,"No matter where life takes me, find me with a smile.","삶이 나를 어디로 데려가든, 내가 미소 짓고 있는 모습을 찾아내 주길."
맥 밀러,Mac Miller,1992–2018,"The end of the world is not the end of anything, it's just the beginning of a whole new universe.",세상의 종말은 무언가의 끝이 아니다. 그것은 완전히 새로운 우주의 시작일 뿐이다.
맥 밀러,Mac Miller,1992–2018,"Enjoy the best things in your life, cause you ain't gonna get to live it twice.","인생에서 가장 좋은 것들을 즐겨라, 두 번 살 수 있는 게 아니니까."
주스 월드,Juice WRLD,1998–2019,"Even if I'm not here, my music will always live.","내가 비록 여기 없더라도, 내 음악은 언제나 살아있을 것이다."
주스 월드,Juice WRLD,1998–2019,We're perfectly imperfect.,우리는 완벽하게 불완전하다.
주스 월드,Juice WRLD,1998–2019,"Words have a lot of power. If you say you're gonna do something, do it.","말에는 큰 힘이 있다. 무언가를 하겠다고 말했다면, 해라."
텐타시온,XXXTentacion,1998–2018,What is money if I can't buy peace of mind?,마음의 평화를 살 수 없다면 돈이 다 무슨 소용이란 말인가?
텐타시온,XXXTentacion,1998–2018,The saddest thing about betrayal is that it never comes from your enemies.,"배신에 대해 가장 슬픈 점은, 그것이 결코 적들로부터 오지 않는다는 사실이다."
텐타시온,XXXTentacion,1998–2018,Your self-worth is determined by you. You don't have to depend on someone telling you who you are.,너의 가치는 네가 결정한다. 누군가가 네가 누구인지 말해주는 것에 의존할 필요는 없다.
포스트 말론,Post Malone,1995 ~,I'm just a human being who likes making music.,나는 그저 음악 만드는 것을 좋아하는 한 인간일 뿐이다.
포스트 말론,Post Malone,1995 ~,You can't get broads if you don't got no money.,돈이 없으면 여자들을 얻을 수 없다.
포스트 말론,Post Malone,1995 ~,Surround yourself with people who want to see you grow.,네가 성장하는 모습을 보고 싶어 하는 사람들로 주변을 채워라.
트래비스 스콧,Travis Scott,1991 ~,"I'm not into making rules, I'm into breaking them.",나는 규칙을 만드는 데 관심이 없다. 규칙을 부수는 데 관심이 있지.
트래비스 스콧,Travis Scott,1991 ~,You can't buy the vibe.,바이브는 돈으로 살 수 없다.
에이셉 라키,A$AP Rocky,1988 ~,"I dress to express, not to impress.","나는 남에게 잘 보이려고 옷을 입는 게 아니라, 나를 표현하기 위해 입는다."
에이셉 라키,A$AP Rocky,1988 ~,"Everybody has a right to be ugly, but you're abusing the privilege.","모든 사람에게는 못생겨질 권리가 있지만, 넌 그 특권을 남용하고 있구나."
플레이보이 카티,Playboi Carti,1996 ~,I'd rather die before I come in last.,꼴찌를 하느니 차라리 죽는 게 낫다.
플레이보이 카티,Playboi Carti,1996 ~,"If you're a king, you don't have to say it.","네가 진짜 왕이라면, 굳이 말로 입증할 필요가 없다."
아웃카스트 - 안드레 3000,André 3000,1975 ~,The South got something to say.,남부 힙합도 할 말이 있다고.
아웃카스트 - 안드레 3000,André 3000,1975 ~,"Knowing is half the battle, but doing is the other half.","아는 것은 전투의 절반일 뿐이고, 행하는 것이 나머지 절반이다."
로린 힐,Lauryn Hill,1975 ~,"We can't plan for everything, but we can be ready for anything.","우리가 모든 것을 계획할 수는 없지만, 무엇이든 맞이할 준비는 되어 있을 수 있다."
로린 힐,Lauryn Hill,1975 ~,"Fantasy is what people want, but reality is what they need.","환상은 사람들이 원하는 것이지만, 현실은 그들에게 필요한 것이다."
니키 미나즈,Nicki Minaj,1982 ~,Stay in school. Don't ever depend on a man for anything.,학교 열심히 다녀라. 어떤 일에서든 남자에게 절대 의존하지 마라.
니키 미나즈,Nicki Minaj,1982 ~,"If I am winning, it means you can win too.","내가 이기고 있다면, 그건 너도 이길 수 있다는 뜻이다."
니키 미나즈,Nicki Minaj,1982 ~,"I'm a thin girl, but my money is fat.","난 마른 여자지만, 내 지갑은 뚱뚱해."
카디 비,Cardi B,1992 ~,Knock me down 9 times but I get up 10.,"아홉 번 나를 쓰러뜨려 봐라, 난 열 번 일어날 테니."
카디 비,Cardi B,1992 ~,"I don't care about anyone liking me, I care about my checks.","누가 날 좋아하든 말든 상관 안 해, 난 내 수표 계좌만 신경 써."
미시 엘리엇,Missy Elliott,1971 ~,Originality is the key to longevity.,독창성이야말로 장수의 열쇠다.
미시 엘리엇,Missy Elliott,1971 ~,I've always been a risk-taker.,나는 언제나 위험을 감수하는 사람이었다.
라킴,Rakim,1968 ~,"Thinking of a master plan, 'cause ain't nothing but sweat inside my hand.","원대한 계획을 생각하는 중이다, 왜냐하면 지금 내 손안에는 땀밖에 쥔 게 없으니까."
라킴,Rakim,1968 ~,"It ain't where you're from, it's where you're at.","네가 어디 출신인지는 중요하지 않다, 네가 지금 어디에 와 있는지가 중요하지."
런 디엠씨 - 디엠씨,DMC,1964 ~,"Hip hop didn't invent anything, hip hop reinvented everything.",힙합은 그 어떤 것도 새로 발명하지 않았다. 힙합은 모든 것을 '재발명'했다.
퍼블릭 에너미 - 척 디,Chuck D,1960 ~,Rap is the Black CNN.,랩은 흑인들의 CNN이다.
퍼블릭 에너미 - 척 디,Chuck D,1960 ~,Don't believe the hype.,과장 광고를 믿지 마라.
우탱 클랜 - 르자,RZA,1969 ~,Wu-Tang is for the children.,우탱 클랜은 어린이들을 위한 것입니다.
우탱 클랜 - 르자,RZA,1969 ~,Wisdom is better than silver and gold.,지혜는 은이나 금보다 더 낫다.
우탱 클랜 - 르자,RZA,1969 ~,The environment you are raised in determines how you see the world.,네가 자란 환경이 네가 세상을 바라보는 방식을 결정한다.
우탱 클랜 - 메소드 맨,Method Man,1971 ~,"Cash rules everything around me, C.R.E.A.M. Get the money, dollar dollar bill y'all.","현금이 내 주변의 모든 것을 지배한다. 돈을 벌어라, 모두 달러 지폐를 챙겨."
메건 더 스탤리언,Megan Thee Stallion,1995 ~,"Once you realize your own worth, you will stop handing people discounts.","너 자신의 가치를 깨닫고 나면, 사람들에게 네 가치를 할인해서 제공하는 짓 따윈 그만두게 될 것이다."
메건 더 스탤리언,Megan Thee Stallion,1995 ~,"I'm a savage. Classy, bougie, ratchet.","난 야성적이지. 고급스럽고, 부유하면서도, 거침없어."
퓨처,Future,1983 ~,"If you're not in the studio, you're losing money.","녹음실에 앉아있는 게 아니라면, 넌 지금 돈을 잃고 있는 중이다."
퓨처,Future,1983 ~,Sensational.,끝내주는군.
릴 우지 버트,Lil Uzi Vert,1995 ~,"I can't flex no more, gave my watch to my best friend.","더 이상 자랑할 수가 없네, 내 시계를 제일 친한 친구한테 줘버려서 말이야."
릴 우지 버트,Lil Uzi Vert,1995 ~,"No matter how dark it gets, the sun will rise again.","아무리 어두워지더라도, 태양은 다시 떠오를 것이다."
21 새비지,21 Savage,1992 ~,How much money you got? A lot.,돈 얼마나 갖고 있냐고? 아주 존나게 많이.
21 새비지,21 Savage,1992 ~,I'd rather be rich and lonely than broke with friends.,친구 많고 빈털터리인 것보단 차라리 부유하고 외로운 게 낫다.
제이든 스미스,Jaden Smith,1998 ~,How can mirrors be real if our eyes aren't real?,우리 눈이 진짜가 아니라면 어떻게 거울이 진짜일 수 있겠어?
맥클모어,Macklemore,1983 ~,One man's trash is another man's treasure.,누군가에게는 쓰레기인 것이 다른 누군가에게는 보물이다.
챈스 더 래퍼,Chance the Rapper,1993 ~,"When you completely trust God, you don't worry about the outcome.","네가 완전히 신을 신뢰할 때, 너는 결과에 대해 걱정하지 않게 된다."
챈스 더 래퍼,Chance the Rapper,1993 ~,We don't do the same drugs no more.,우리는 이제 더 이상 같은 마약을 하지 않아.
빅 션,Big Sean,1988 ~,"I guess it’s true what they say, money can't buy happiness. But it can buy a jetski, and have you ever seen a sad person on a jetski?",돈으로 행복을 살 수 없다는 말은 진짜인 것 같다. 하지만 돈으로 제트스키는 살 수 있지. 제트스키 타면서 슬퍼하는 사람 본 적 있어?
위즈 칼리파,Wiz Khalifa,1987 ~,"Work hard, play hard.","일할 땐 열심히 일하고, 놀 땐 화끈하게 놀아라."
위즈 칼리파,Wiz Khalifa,1987 ~,"We all want to be successful, but we don't all want to work for it.","우리 모두는 성공하길 원하지만, 모두가 그것을 위해 노력하고 싶어 하지는 않는다."
릴 디키,Lil Dicky,1988 ~,Save dat money.,그 돈 좀 아껴라.
타일라 야웨,Tyla Yaweh,1995 ~,"Life is a movie, you are the director.","인생은 영화다, 네가 바로 감독이다."
릴 베이비,Lil Baby,1994 ~,"I’m the one who’s gotta die when it’s time for me to die, so let me live my life the way I want to.",내 죽을 때가 되면 죽어야 하는 건 나 자신이다. 그러니 내가 원하는 방식대로 내 인생을 살게 내버려 둬라.
릴 베이비,Lil Baby,1994 ~,"Money bring power, but power bring pain.","돈은 권력을 가져오지만, 권력은 고통을 가져온다."
건나,Gunna,1993 ~,Drip or drown.,"멋지게 꾸미거나, 아니면 도태되거나."
퀘보 - 미고스,Quavo,1991 ~,"We started from the bottom, now we're in the charts.","우리는 바닥에서 시작했고, 이제는 차트에 있다."
스위스 비츠,Swizz Beatz,1978 ~,"The sky is not the limit, it's just the view.","하늘은 한계가 아니다, 그저 풍경일 뿐이다."
루페 피아스코,Lupe Fiasco,1981 ~,You can't play the game if you don't know the rules.,규칙을 모른다면 게임을 플레이할 수 없다.
루페 피아스코,Lupe Fiasco,1981 ~,Don't let the uniform define who you are.,제복이 당신이 누구인지 정의하게 두지 마라.
에이셉 퍼그,A$AP Ferg,1988 ~,Always strive and prosper.,언제나 고군분투하고 번창하라.
디 엠 엑스,DMX,1970–2021,To flooded with wealth is to starve the spirit.,부유함에 지나치게 침수되는 것은 영혼을 굶주리게 만드는 것이다.
